Car Model,Country,City,Price,QuantitySold,Sale,DateOfSale,CustomerID,CustomerName,Age,Gender,CarMake,CarModel,Year,CarType,PaymentMethod,SalespersonID,SalespersonName,DealershipLocation,Profit
Honda Civic,Australia,Melbourne,62885,6,377310,2045-11-29,CUST07712,Matthew Crawford,22,Male,Nissan,Chevrolet Malibu,2009,Coupe,Bank Transfer,SP080,Tonya Baker,"Lake Robynfurt, Hungary",10612
Hyundai Elantra,India,Delhi,50261,2,100522,2045-11-30,CUST07713,Julie Lewis DDS,32,Male,Honda,Hyundai Elantra,2015,Minivan,Bank Transfer,SP017,Elizabeth Reid,"Kevinhaven, Chad",2437
Toyota Corolla,Australia,Perth,65312,3,195936,2045-12-01,CUST07714,Anthony Palmer,26,Non-binary,BMW,Ford Focus,2022,SUV,Lease,SP025,Ashley Mullins,"Davisfort, Uzbekistan",4180
Hyundai Elantra,Japan,Osaka,63903,10,639030,2045-12-02,CUST07715,Alyssa Dickson,25,Male,Hyundai,Toyota Corolla,2004,Convertible,Cash,SP099,Sarah Scott,"Lake Tonyfort, Costa Rica",11645
Mercedes C-Class,Germany,Frankfurt,66518,6,399108,2045-12-03,CUST07716,Michael Gordon,43,Male,Toyota,Chevrolet Malibu,2013,SUV,Credit Card,SP045,Debra Alvarez,"Joseton, Dominican Republic",14836
Nissan Altima,Germany,Cologne,54923,2,109846,2045-12-04,CUST07717,David Harris,61,Male,Toyota,BMW 3 Series,2019,Hatchback,Lease,SP072,Amy Jones,"Roseville, Ecuador",6117
Kia Optima,UK,Manchester,77191,6,463146,2045-12-05,CUST07718,Jenny Cochran,68,Female,BMW,Mercedes C-Class,2019,Minivan,Cash,SP004,Kathleen Alexander,"Carlosside, Sweden",6344
Hyundai Elantra,Italy,Milan,25259,8,202072,2045-12-06,CUST07719,Peter Dunn,69,Female,Toyota,Ford Focus,2018,Coupe,Bank Transfer,SP017,Nicholas Adams,"Levyside, Namibia",4944
Hyundai Elantra,Australia,Adelaide,44398,3,133194,2045-12-07,CUST07720,Steve Walsh,58,Non-binary,Honda,Kia Optima,2021,Coupe,Credit Card,SP042,Mark Simon,"Isaacport, Nepal",8077
Audi A4,Japan,Nagoya,95749,3,287247,2045-12-08,CUST07721,Melissa Chavez,34,Male,Audi,Chevrolet Malibu,2007,Minivan,Credit Card,SP073,Rachel Francis,"Port James, Peru",2223
Nissan Altima,France,Toulouse,90527,3,271581,2045-12-09,CUST07722,Patricia Bradley,19,Non-binary,Kia,Audi A4,2020,SUV,Bank Transfer,SP005,Renee Green,"Port Suzannemouth, United Arab Emirates",5406
Honda Civic,UK,Birmingham,91589,2,183178,2045-12-10,CUST07723,Danielle Parsons,64,Female,Mercedes,Toyota Corolla,2003,Hatchback,Credit Card,SP001,David Lin,"Rojasmouth, San Marino",2448
Mercedes C-Class,Japan,Osaka,19179,4,76716,2045-12-11,CUST07724,Michele Meyer,72,Non-binary,BMW,Kia Optima,2004,Minivan,Lease,SP049,Angela Wood,"Castilloberg, Montenegro",4954
Hyundai Elantra,USA,Chicago,38204,8,305632,2045-12-12,CUST07725,Savannah Barrett,61,Non-binary,Ford,Mercedes C-Class,2018,Hatchback,Lease,SP049,George Taylor,"Mollyburgh, Taiwan",7809
Honda Civic,Australia,Perth,44036,10,440360,2045-12-13,CUST07726,Amanda Gonzales,35,Male,Mercedes,Kia Optima,2000,Sedan,Credit Card,SP048,Michelle Collins,"Michellehaven, Saint Pierre and Miquelon",8990
Chevrolet Malibu,Australia,Melbourne,55208,3,165624,2045-12-14,CUST07727,Julie Gill,46,Female,Mercedes,Ford Focus,2016,Hatchback,Lease,SP072,Samantha Simmons,"North Melissa, United Arab Emirates",7959
Nissan Altima,India,Bangalore,44068,10,440680,2045-12-15,CUST07728,Hannah West,19,Non-binary,Audi,Chevrolet Malibu,2002,SUV,Cash,SP020,Katherine Floyd,"Jessicaland, Gabon",3562
Nissan Altima,Australia,Sydney,15529,6,93174,2045-12-16,CUST07729,Alicia Noble,40,Non-binary,Ford,Chevrolet Malibu,2003,Convertible,Credit Card,SP011,Scott Smith,"North Deborah, Saint Lucia",2053
Mercedes C-Class,China,Chongqing,71323,1,71323,2045-12-17,CUST07730,Pamela Rivera,49,Male,Ford,Mercedes C-Class,2020,Coupe,Credit Card,SP080,Martha Barnes,"East Susan, Lithuania",13312
Nissan Altima,UK,Manchester,23010,2,46020,2045-12-18,CUST07731,Jacob Nichols,45,Non-binary,Toyota,Mercedes C-Class,2004,Sedan,Bank Transfer,SP072,Charles Miller,"West Kristinchester, Sri Lanka",7809
Honda Civic,USA,New York,35574,4,142296,2045-12-19,CUST07732,Alejandra Cabrera,56,Female,Toyota,Chevrolet Malibu,2003,Coupe,Bank Transfer,SP100,Kyle Johnson,"New Kristin, Qatar",3731
Chevrolet Malibu,France,Toulouse,97845,3,293535,2045-12-20,CUST07733,Lindsey Moore,57,Female,Audi,Honda Civic,2022,Truck,Bank Transfer,SP080,Lisa Hill,"Mortonshire, Cyprus",9173
BMW 3 Series,China,Shanghai,98661,4,394644,2045-12-21,CUST07734,Julie Farrell,20,Non-binary,Mercedes,Hyundai Elantra,2016,Coupe,Cash,SP019,Kevin Kennedy,"Lake Sheila, Anguilla",13086
Toyota Corolla,Germany,Cologne,80720,1,80720,2045-12-22,CUST07735,Michael Orozco,22,Female,Hyundai,Kia Optima,2000,Hatchback,Credit Card,SP005,Marcus Carpenter,"Gallagherland, Honduras",5223
Toyota Corolla,USA,Chicago,70986,10,709860,2045-12-23,CUST07736,Rebecca Curry,61,Female,Audi,Toyota Corolla,2018,Convertible,Lease,SP095,Julie Cohen,"Hayesburgh, Latvia",4971
Kia Optima,Canada,Ottawa,21147,1,21147,2045-12-24,CUST07737,Hannah Cummings,57,Non-binary,Chevrolet,Ford Focus,2021,Truck,Lease,SP005,Brittany Morales,"West Todd, Venezuela",13116
Ford Focus,Italy,Turin,56824,4,227296,2045-12-25,CUST07738,Nicole Riley,24,Male,Chevrolet,Nissan Altima,2023,Minivan,Cash,SP090,Amy Guzman DDS,"Jacquelineton, Svalbard & Jan Mayen Islands",12327
Honda Civic,Japan,Nagoya,40407,8,323256,2045-12-26,CUST07739,Gregory Davis,33,Non-binary,BMW,Honda Civic,2003,Sedan,Lease,SP096,Jerry Brown,"New James, Cape Verde",2115
Honda Civic,France,Marseille,79005,3,237015,2045-12-27,CUST07740,Jacob Smith,33,Male,Mercedes,Ford Focus,2021,Minivan,Lease,SP070,David Cooper,"Charlesport, Hungary",10812
Toyota Corolla,USA,Phoenix,52649,9,473841,2045-12-28,CUST07741,William Harmon,67,Female,Hyundai,Hyundai Elantra,2006,Convertible,Bank Transfer,SP008,John Wilson,"Johnsonberg, Romania",7019
Honda Civic,Australia,Sydney,93661,5,468305,2045-12-29,CUST07742,Dr. Kevin Welch,25,Male,Toyota,Nissan Altima,2007,Sedan,Lease,SP023,Kaitlyn James,"North Joseph, Qatar",11336
Toyota Corolla,Japan,Osaka,23272,4,93088,2045-12-30,CUST07743,Deanna Perez,56,Non-binary,Honda,Mercedes C-Class,2016,Sedan,Cash,SP058,Tyler Sanchez,"West Alex, Mali",8702
Kia Optima,Australia,Brisbane,26189,4,104756,2045-12-31,CUST07744,Joseph Vargas,67,Female,Ford,Honda Civic,2015,Minivan,Cash,SP044,Scott Boyd,"Jamesmouth, Zambia",8762
Mercedes C-Class,Japan,Nagoya,52772,7,369404,2046-01-01,CUST07745,Christopher Reed,31,Non-binary,BMW,Nissan Altima,2023,Minivan,Cash,SP018,Brooke Gonzalez,"Edwardsfurt, Bahamas",14685
Toyota Corolla,Australia,Brisbane,27878,7,195146,2046-01-02,CUST07746,Donald Waters,57,Male,Mercedes,Chevrolet Malibu,2009,SUV,Bank Transfer,SP072,Daniel Valencia,"Port Jenniferborough, French Guiana",11449
BMW 3 Series,China,Shanghai,55283,6,331698,2046-01-03,CUST07747,Julia Pineda,32,Non-binary,Audi,Chevrolet Malibu,2003,Truck,Cash,SP011,Mr. Dale Shepherd MD,"Marktown, Timor-Leste",784
Kia Optima,USA,Chicago,96896,7,678272,2046-01-04,CUST07748,John Powers,32,Male,Nissan,Audi A4,2000,Truck,Bank Transfer,SP042,Michelle Francis,"Hollandchester, Myanmar",2882
Ford Focus,China,Shanghai,23738,2,47476,2046-01-05,CUST07749,Linda White,51,Non-binary,Hyundai,Mercedes C-Class,2000,Truck,Lease,SP043,Michael Jimenez,"South Erikhaven, Slovakia (Slovak Republic)",10922
Nissan Altima,Italy,Palermo,53151,8,425208,2046-01-06,CUST07750,Richard Reed,20,Non-binary,Chevrolet,Ford Focus,2016,Sedan,Bank Transfer,SP083,Janet Hatfield,"Shaunfort, Palestinian Territory",8569
Chevrolet Malibu,Germany,Berlin,73541,10,735410,2046-01-07,CUST07751,Ricky Larson,54,Female,Ford,Mercedes C-Class,2016,Sedan,Lease,SP091,Christine Glover,"New Amandahaven, Greece",4001
Audi A4,Italy,Turin,97043,9,873387,2046-01-08,CUST07752,Jennifer Cruz,72,Female,Kia,Nissan Altima,2023,Minivan,Bank Transfer,SP027,Jason Bishop,"East Ashleychester, British Indian Ocean Territory (Chagos Archipelago)",2535
Mercedes C-Class,India,Bangalore,39767,1,39767,2046-01-09,CUST07753,Dr. Mark Green DVM,27,Male,Hyundai,Nissan Altima,2016,Sedan,Lease,SP044,Evan Peters,"Russellborough, Libyan Arab Jamahiriya",9885
Honda Civic,India,Chennai,55783,5,278915,2046-01-10,CUST07754,Jacqueline Alvarado,53,Non-binary,BMW,Ford Focus,2003,Convertible,Credit Card,SP004,Jaime Davila,"Ortizborough, Kazakhstan",11417
Chevrolet Malibu,USA,Los Angeles,46890,1,46890,2046-01-11,CUST07755,Kyle Chang,29,Male,Ford,Toyota Corolla,2013,SUV,Lease,SP070,Jonathan Hamilton,"Martintown, Georgia",12565
Honda Civic,France,Marseille,31893,1,31893,2046-01-12,CUST07756,Tracy Young,65,Female,Nissan,Hyundai Elantra,2014,Truck,Cash,SP036,Holly Mitchell,"New Robertstad, Croatia",1794
Kia Optima,Italy,Naples,37761,5,188805,2046-01-13,CUST07757,Darrell Sanchez,69,Female,Nissan,Toyota Corolla,2016,Convertible,Cash,SP051,Kevin Long,"Hollyburgh, Trinidad and Tobago",4077
Nissan Altima,Japan,Yokohama,99693,4,398772,2046-01-14,CUST07758,Brandon Curtis,62,Female,BMW,Audi A4,2005,Minivan,Bank Transfer,SP009,Scott Cole,"Lake Whitneyfort, Bahrain",9117
Toyota Corolla,UK,London,95269,3,285807,2046-01-15,CUST07759,Alex Morgan DDS,55,Male,Hyundai,Toyota Corolla,2002,Convertible,Lease,SP035,Jimmy Ramos,"Johnsonmouth, Aruba",698
Kia Optima,Canada,Toronto,28114,1,28114,2046-01-16,CUST07760,David Rivera,60,Non-binary,BMW,Hyundai Elantra,2018,Coupe,Bank Transfer,SP066,Erik Cox,"New Christopherton, Czech Republic",13856
Hyundai Elantra,Germany,Frankfurt,51921,4,207684,2046-01-17,CUST07761,Phillip Pollard,63,Female,Audi,Audi A4,2016,Hatchback,Cash,SP008,David Mosley,"Port Seanberg, Kazakhstan",13114
Ford Focus,Canada,Montreal,19515,1,19515,2046-01-18,CUST07762,Misty Tran,73,Non-binary,BMW,Hyundai Elantra,2011,SUV,Cash,SP022,Hailey Cole,"Donaldville, Palestinian Territory",12303
Audi A4,Germany,Cologne,84823,8,678584,2046-01-19,CUST07763,Jessica Mitchell,63,Male,Kia,Mercedes C-Class,2011,Coupe,Cash,SP030,Amber Brown,"North James, Spain",8257
Kia Optima,Australia,Perth,87813,2,175626,2046-01-20,CUST07764,Patrick Williams,67,Non-binary,Nissan,BMW 3 Series,2003,Minivan,Cash,SP096,Zachary Hood,"East Virginiaburgh, Turks and Caicos Islands",3182
Audi A4,China,Beijing,92075,1,92075,2046-01-21,CUST07765,Jonathon Drake,20,Male,Mercedes,Toyota Corolla,2010,Hatchback,Bank Transfer,SP022,Carol Brewer,"East Lawrence, Singapore",6888
Chevrolet Malibu,UK,London,31173,1,31173,2046-01-22,CUST07766,Joseph Johnson,46,Non-binary,Nissan,Honda Civic,2021,Convertible,Bank Transfer,SP065,Lisa Walter,"Bennettland, Falkland Islands (Malvinas)",10427
Chevrolet Malibu,Germany,Munich,83588,6,501528,2046-01-23,CUST07767,Edward Ewing,19,Non-binary,Nissan,BMW 3 Series,2005,Coupe,Lease,SP013,Timothy Sandoval,"West Jillian, Hong Kong",2252
Hyundai Elantra,India,Delhi,52667,5,263335,2046-01-24,CUST07768,Larry Hunt,39,Male,Chevrolet,Chevrolet Malibu,2011,Truck,Lease,SP049,Nicole Greene,"Rodriguezfurt, Angola",6764
Kia Optima,Japan,Sapporo,18545,2,37090,2046-01-25,CUST07769,Timothy Hunter,68,Non-binary,Chevrolet,BMW 3 Series,2018,SUV,Bank Transfer,SP044,Benjamin Morton,"South Alicia, Paraguay",10173
Ford Focus,France,Marseille,31079,3,93237,2046-01-26,CUST07770,Manuel Shaw,56,Female,Chevrolet,Toyota Corolla,2000,Minivan,Cash,SP024,Bruce Blanchard,"Katherinefort, Guinea",13842
Audi A4,Canada,Montreal,83735,3,251205,2046-01-27,CUST07771,Patricia Compton,43,Male,Chevrolet,BMW 3 Series,2014,Convertible,Lease,SP046,Keith Thompson,"Mcclureborough, Thailand",11276
BMW 3 Series,France,Lyon,16733,4,66932,2046-01-28,CUST07772,Nicholas West,66,Non-binary,Honda,Honda Civic,2002,Minivan,Credit Card,SP056,Jennifer Stephenson,"West Amandaside, Germany",3833
Mercedes C-Class,Canada,Montreal,54530,4,218120,2046-01-29,CUST07773,Jennifer Riley,23,Male,Hyundai,Kia Optima,2015,Sedan,Lease,SP079,Diana Kaufman,"Hunterburgh, Cyprus",5486
Hyundai Elantra,UK,Leeds,23053,9,207477,2046-01-30,CUST07774,Jacob Davis,28,Non-binary,Honda,Chevrolet Malibu,2006,Minivan,Bank Transfer,SP064,Tammy King,"Schneidermouth, Greenland",4346
Chevrolet Malibu,China,Shanghai,40837,10,408370,2046-01-31,CUST07775,David Adkins,46,Non-binary,Honda,Nissan Altima,2017,SUV,Cash,SP095,John Fisher,"West Marymouth, Burundi",6775
Audi A4,India,Delhi,90334,9,813006,2046-02-01,CUST07776,Andrew Hernandez,37,Non-binary,Kia,BMW 3 Series,2013,Truck,Cash,SP034,Katherine Sanchez,"Angelafort, Serbia",13529
Toyota Corolla,USA,New York,13059,5,65295,2046-02-02,CUST07777,Lori Gutierrez,32,Male,Toyota,Hyundai Elantra,2022,Convertible,Bank Transfer,SP064,Andrea Vasquez,"Hoovertown, Libyan Arab Jamahiriya",10669
Hyundai Elantra,Australia,Adelaide,82008,1,82008,2046-02-03,CUST07778,Eric Vasquez,28,Non-binary,Kia,Nissan Altima,2006,SUV,Cash,SP098,Jerome Berg,"Port Amanda, Niger",14956
Honda Civic,Australia,Sydney,75513,8,604104,2046-02-04,CUST07779,Patricia Cox,63,Male,Chevrolet,Toyota Corolla,2022,SUV,Credit Card,SP012,Brent Kane,"Port Lisa, Romania",14136
BMW 3 Series,India,Hyderabad,60481,10,604810,2046-02-05,CUST07780,Christine Mason,40,Non-binary,Hyundai,Nissan Altima,2023,Coupe,Bank Transfer,SP007,Bethany Nelson,"West Taylorberg, Ireland",7231
Nissan Altima,China,Shanghai,35990,1,35990,2046-02-06,CUST07781,Emily Mclaughlin,22,Non-binary,Toyota,Audi A4,2007,Minivan,Lease,SP020,Amy French,"Ortizview, Saint Kitts and Nevis",7276
Ford Focus,UK,Manchester,71276,10,712760,2046-02-07,CUST07782,Emily Zhang,73,Female,Toyota,Toyota Corolla,2010,Hatchback,Cash,SP009,Jonathan Newman,"East Jordan, Peru",6698
Mercedes C-Class,China,Chongqing,45750,4,183000,2046-02-08,CUST07783,Mark Jones,50,Female,Chevrolet,BMW 3 Series,2020,Hatchback,Lease,SP062,Patrick Richardson,"Lake Courtneyton, Angola",14105
Ford Focus,Italy,Palermo,95573,2,191146,2046-02-09,CUST07784,Barbara Hughes,45,Female,Audi,Mercedes C-Class,2017,SUV,Credit Card,SP043,Brandon Sandoval,"Donaldfurt, Equatorial Guinea",11662
Toyota Corolla,UK,Birmingham,27084,8,216672,2046-02-10,CUST07785,Sarah Thompson,29,Non-binary,Hyundai,Honda Civic,2022,Minivan,Lease,SP094,Maria Chambers,"Campbellshire, Nepal",3402
Audi A4,USA,Houston,60484,4,241936,2046-02-11,CUST07786,Rachel Park,41,Female,Mercedes,Chevrolet Malibu,2017,SUV,Bank Transfer,SP065,Travis Edwards,"North Kevinton, Saint Helena",13049
BMW 3 Series,China,Shanghai,46520,9,418680,2046-02-12,CUST07787,Colleen Aguilar,72,Non-binary,Audi,Chevrolet Malibu,2019,Truck,Bank Transfer,SP100,Kathryn Martin,"North Philip, Uzbekistan",1006
Kia Optima,Japan,Tokyo,80357,1,80357,2046-02-13,CUST07788,Eric Rodriguez,35,Non-binary,Nissan,Honda Civic,2011,Minivan,Bank Transfer,SP063,Carlos Bishop,"Lake Yvonnebury, British Virgin Islands",1475
Audi A4,Australia,Adelaide,32815,8,262520,2046-02-14,CUST07789,Amy Francis DVM,42,Non-binary,Toyota,Audi A4,2003,Truck,Bank Transfer,SP020,Nancy Diaz,"North Joshuashire, Senegal",935
Chevrolet Malibu,Italy,Rome,54310,2,108620,2046-02-15,CUST07790,Amanda Perez,43,Female,Hyundai,Hyundai Elantra,2012,Minivan,Cash,SP055,Tiffany Johnson,"Jonesview, Mali",2438
Kia Optima,Germany,Frankfurt,84175,8,673400,2046-02-16,CUST07791,William Hoffman,63,Male,Chevrolet,Nissan Altima,2012,Minivan,Cash,SP065,Christina Hall,"North Lori, United States of America",10637
Hyundai Elantra,UK,Birmingham,78349,2,156698,2046-02-17,CUST07792,Doris Garner,69,Female,Chevrolet,Kia Optima,2011,SUV,Cash,SP039,Jacob Wood,"Youngtown, Japan",11773
Chevrolet Malibu,Italy,Milan,89937,7,629559,2046-02-18,CUST07793,Tammy Brown,28,Female,Ford,BMW 3 Series,2018,Truck,Credit Card,SP026,Robert Yates,"North Tammy, Mexico",8035
Ford Focus,Canada,Toronto,81105,1,81105,2046-02-19,CUST07794,Nicole Moore,18,Female,Hyundai,Ford Focus,2013,Hatchback,Cash,SP067,Daniel Barrett,"Lake Kellyside, Grenada",11822
Ford Focus,Italy,Palermo,28062,9,252558,2046-02-20,CUST07795,Marissa Andersen,39,Male,Chevrolet,Mercedes C-Class,2016,SUV,Bank Transfer,SP072,Casey Ford,"Lake Amandamouth, Yemen",9951
Toyota Corolla,UK,London,84986,6,509916,2046-02-21,CUST07796,Francisco Gallegos,32,Male,BMW,Mercedes C-Class,2016,Sedan,Credit Card,SP073,Charles Gonzalez,"East Jeffreyburgh, Macao",3262
Nissan Altima,China,Chongqing,65946,2,131892,2046-02-22,CUST07797,Daniel King,59,Female,Honda,Audi A4,2000,Coupe,Bank Transfer,SP100,Kyle Jackson,"Lake Markchester, Cote d'Ivoire",12775
Honda Civic,China,Beijing,38645,6,231870,2046-02-23,CUST07798,Alexandra Holland,24,Non-binary,Honda,Chevrolet Malibu,2000,Convertible,Cash,SP066,Timothy Griffin,"South Rebekahfort, Bolivia",1345
Mercedes C-Class,UK,Manchester,46360,8,370880,2046-02-24,CUST07799,Elizabeth Juarez,65,Female,Nissan,Hyundai Elantra,2021,Hatchback,Credit Card,SP009,Randall Baxter,"Port Mirandatown, Sao Tome and Principe",9842
Audi A4,UK,Glasgow,90974,7,636818,2046-02-25,CUST07800,John Cruz,40,Male,Nissan,BMW 3 Series,2003,Sedan,Cash,SP079,Ashley Johnson,"Summersstad, Turkmenistan",12495
Honda Civic,France,Lyon,57638,8,461104,2046-02-26,CUST07801,Jason Mitchell,68,Non-binary,Ford,Audi A4,2003,Hatchback,Lease,SP046,Jonathon Meyers,"Lake Davidburgh, Guam",4140
Ford Focus,USA,Chicago,61628,2,123256,2046-02-27,CUST07802,Stephanie Williams,71,Female,Audi,Nissan Altima,2003,SUV,Lease,SP012,Sharon Flynn,"Michelleton, Saint Pierre and Miquelon",13684
BMW 3 Series,Germany,Hamburg,33482,5,167410,2046-02-28,CUST07803,Christie Brennan,25,Female,BMW,Kia Optima,2019,Coupe,Bank Transfer,SP070,Marissa Moyer,"Jacquelinemouth, Ireland",2868
BMW 3 Series,France,Lyon,20376,10,203760,2046-03-01,CUST07804,David Ward,19,Non-binary,Chevrolet,BMW 3 Series,2023,Sedan,Lease,SP073,Sabrina Pearson,"Whitehaven, Lebanon",14430
Kia Optima,Australia,Brisbane,15230,2,30460,2046-03-02,CUST07805,Donald Martin,33,Male,Toyota,BMW 3 Series,2008,Convertible,Lease,SP051,Charles Castro,"Lake Thomas, Liberia",11660
Honda Civic,India,Delhi,29608,2,59216,2046-03-03,CUST07806,Tommy Luna,56,Non-binary,Chevrolet,Audi A4,2020,SUV,Lease,SP096,Amanda Coleman,"Martinfort, Martinique",3973
Chevrolet Malibu,China,Chongqing,68638,10,686380,2046-03-04,CUST07807,Jeffery Foster,60,Female,Ford,BMW 3 Series,2008,Hatchback,Lease,SP053,Jesse Evans,"Mollymouth, Yemen",8356
Ford Focus,France,Toulouse,47607,8,380856,2046-03-05,CUST07808,Joshua Merritt,58,Male,BMW,Mercedes C-Class,2004,Minivan,Cash,SP069,Brian Mcfarland,"Connorstad, Slovenia",3578
Mercedes C-Class,France,Lyon,31860,10,318600,2046-03-06,CUST07809,Daniel Miranda,75,Non-binary,Chevrolet,Audi A4,2003,Truck,Bank Transfer,SP022,Melissa Smith,"East Brandon, Cyprus",2673
BMW 3 Series,Italy,Rome,88644,1,88644,2046-03-07,CUST07810,Taylor Brown,32,Female,Toyota,Audi A4,2001,SUV,Lease,SP082,Travis Baxter,"West Jimmy, Nigeria",9493
Kia Optima,France,Nice,71443,6,428658,2046-03-08,CUST07811,Jennifer Browning,31,Female,Audi,Kia Optima,2012,SUV,Lease,SP016,Jeremy Santiago,"South Seanville, Russian Federation",4690
Kia Optima,Italy,Turin,80483,2,160966,2046-03-09,CUST07812,Alexander Morris,40,Male,Kia,Hyundai Elantra,2010,Coupe,Lease,SP014,Amy Nguyen,"Manningchester, Azerbaijan",8148
Honda Civic,Japan,Osaka,60403,3,181209,2046-03-10,CUST07813,Nancy Gutierrez,50,Non-binary,Mercedes,Mercedes C-Class,2015,Coupe,Lease,SP059,Melissa Young,"North Vanessa, Philippines",5365
Ford Focus,USA,Los Angeles,62541,1,62541,2046-03-11,CUST07814,Jason Cohen,44,Non-binary,Hyundai,Audi A4,2015,Truck,Cash,SP086,Jennifer Curry,"New Eugene, Micronesia",7399
Toyota Corolla,Germany,Cologne,96031,3,288093,2046-03-12,CUST07815,Bradley Stephens,48,Non-binary,Kia,Honda Civic,2018,Coupe,Credit Card,SP013,Mark Price,"Staceystad, Saint Barthelemy",6465
Chevrolet Malibu,China,Beijing,41295,9,371655,2046-03-13,CUST07816,Michael Russell,72,Male,BMW,Chevrolet Malibu,2009,Coupe,Lease,SP043,Brenda Schmidt,"Lake Yesenia, Peru",7418
BMW 3 Series,Italy,Turin,75842,1,75842,2046-03-14,CUST07817,Lee Harrington,71,Non-binary,Audi,BMW 3 Series,2017,Sedan,Lease,SP084,Elizabeth Ramos,"Chrishaven, Anguilla",7940
Nissan Altima,China,Chongqing,48683,6,292098,2046-03-15,CUST07818,Jessica Chambers,31,Non-binary,Kia,Ford Focus,2005,Truck,Credit Card,SP030,Michael Martin,"Lake Melissa, Ethiopia",3896
Audi A4,France,Paris,76904,9,692136,2046-03-16,CUST07819,Angela Cobb,52,Female,Ford,Toyota Corolla,2022,Convertible,Lease,SP072,Tracy Anderson,"New Sydney, Ukraine",12055
Nissan Altima,France,Toulouse,71520,2,143040,2046-03-17,CUST07820,Megan Evans,63,Male,Toyota,BMW 3 Series,2019,Minivan,Credit Card,SP005,Nancy Smith,"East Bryanburgh, Gabon",10642
Audi A4,Australia,Adelaide,25704,5,128520,2046-03-18,CUST07821,Lori Powell,71,Male,BMW,Hyundai Elantra,2012,Truck,Credit Card,SP050,Daniel Perez,"Lake Susanburgh, Myanmar",2626
Chevrolet Malibu,Germany,Cologne,15588,4,62352,2046-03-19,CUST07822,Alexander Page,72,Female,Audi,Audi A4,2010,SUV,Bank Transfer,SP003,Jermaine Contreras,"Alexandriaton, Saudi Arabia",4070
Honda Civic,USA,Chicago,52159,7,365113,2046-03-20,CUST07823,Frank Morris,75,Male,BMW,Hyundai Elantra,2015,Coupe,Bank Transfer,SP067,Jamie Rose,"Port Theresaland, Jamaica",2441
Chevrolet Malibu,Japan,Yokohama,23557,7,164899,2046-03-21,CUST07824,Jennifer Thompson,50,Female,Nissan,BMW 3 Series,2003,Sedan,Lease,SP024,Elijah Wells,"South Brettview, New Zealand",7387
Hyundai Elantra,Japan,Nagoya,46614,3,139842,2046-03-22,CUST07825,Timothy Edwards,71,Male,BMW,Kia Optima,2005,Truck,Cash,SP040,Samantha Evans,"Jasonfurt, Ecuador",10918
Chevrolet Malibu,Germany,Frankfurt,16723,10,167230,2046-03-23,CUST07826,Diane Robinson,18,Male,Honda,Honda Civic,2023,Truck,Lease,SP030,Joseph Hamilton,"Amberside, Cyprus",6557
Audi A4,USA,New York,22826,2,45652,2046-03-24,CUST07827,Betty Williams,71,Male,Audi,Kia Optima,2002,Coupe,Cash,SP081,Laura Gonzalez,"Marshalltown, Montserrat",6398
Toyota Corolla,UK,Glasgow,34887,6,209322,2046-03-25,CUST07828,William Miller,36,Non-binary,Nissan,Chevrolet Malibu,2019,Truck,Credit Card,SP047,Michael Pineda,"Mcphersonfort, Malawi",13396
Kia Optima,Australia,Adelaide,95137,7,665959,2046-03-26,CUST07829,Jessica Duke,47,Female,Toyota,Nissan Altima,2015,Sedan,Lease,SP088,Robin Parker,"Debbiefurt, Netherlands Antilles",1610
Ford Focus,Canada,Vancouver,81729,9,735561,2046-03-27,CUST07830,Matthew Harris,68,Non-binary,Kia,Toyota Corolla,2011,Coupe,Cash,SP015,James Davis,"Lake Nathanielport, Saint Kitts and Nevis",13513
BMW 3 Series,USA,Los Angeles,92336,7,646352,2046-03-28,CUST07831,Cassandra Torres,51,Non-binary,Audi,Toyota Corolla,2004,Sedan,Lease,SP001,Denise Terrell,"North Anthonyside, Niger",3798
Nissan Altima,USA,Los Angeles,94122,3,282366,2046-03-29,CUST07832,Ernest Johnson,52,Female,Hyundai,Chevrolet Malibu,2015,Minivan,Credit Card,SP091,Steven Anderson,"Barrettberg, Lesotho",10093
Nissan Altima,Italy,Naples,60304,3,180912,2046-03-30,CUST07833,Randy Mullen,33,Female,Ford,Chevrolet Malibu,2015,Minivan,Cash,SP004,Peter Ruiz,"West Anthonychester, United Kingdom",14645
Nissan Altima,Italy,Palermo,18164,2,36328,2046-03-31,CUST07834,James Anderson,54,Male,Chevrolet,Hyundai Elantra,2006,Hatchback,Bank Transfer,SP040,Thomas Zimmerman,"East Ginaville, Vanuatu",9238
BMW 3 Series,India,Delhi,51073,3,153219,2046-04-01,CUST07835,Cassidy Lozano,25,Female,BMW,Toyota Corolla,2013,Sedan,Cash,SP089,Richard Chung,"South Katherine, Myanmar",13071
Hyundai Elantra,Australia,Sydney,67412,6,404472,2046-04-02,CUST07836,Joseph Miller,38,Non-binary,Mercedes,Ford Focus,2017,Sedan,Credit Card,SP053,Sandra Collins,"New Maryton, Iraq",9100
Hyundai Elantra,USA,Houston,67908,5,339540,2046-04-03,CUST07837,Mark Vasquez,72,Male,Hyundai,Mercedes C-Class,2006,Hatchback,Bank Transfer,SP029,Keith Smith,"Friedmanhaven, Yemen",11338
